grupo,area,areacod,num,profes,est,salario,especie,lineas,jovinpre,artb,ponnal,ponint,otros,matripos,joinvcol,proyext,mov,centrosex,arta,caplibr,libr,patentes,gmaesdoc,inves,sumah,hmax,numproy,invesjun,gmaes,codi
MED,CIENCIAS,1,191,2.079441547,0,7.664216042,0.693147182,2.079441547,1.386294365,2.797552586,1.098612309,1.098612309,1.098612309,0,0,0,0,0,1.984703541,0,0,0,0.405465096,1.609437943,2.079441547,1.386294365,1.386294365,1.945910096,0.693147182,3.359952688
NSSR,SALUD,3,192,1.682688355,0,7.046651363,3.23905158,2.079441547,0,2.07083869,1.945910096,1.945910096,0,0,0,5.95714283,0,0,1.804024816,1.098612309,0,0,0.91629076,1.011600971,1.945910096,1.386294365,0,0,1.386294365,0
Ocio,SOCIALES,4,193,1.316408277,0,5.343405247,0.693147182,1.609437943,1.098612309,2.07083869,1.098612309,0,0,0,0,4.587610722,0,0,0,0,0,0,0.405465096,1.011600971,0,0,1.386294365,1.098612309,0.693147182,0
PDLE,SOCIALES,4,194,1.432700753,0,6.774546146,0.693147182,1.386294365,0.693147182,2.698871136,0,0,0.693147182,0,0,0,0,0,0,1.098612309,0,0,0.405465096,0.405465096,0,0,1.098612309,0.693147182,0.693147182,4.042096138
PES,SOCIALES,4,195,1.366091609,1.366091609,6.518022537,1.620485902,1.791759491,0.693147182,2.07083869,0,0,1.386294365,1.366091609,0,4.889716625,0.693147182,0,0,0,0,0,0,0.810930192,0,0,1.098612309,0.693147182,0,3.616877556
PSSS,SALUD,3,196,1.731655598,0,6.966447353,0.693147182,1.609437943,1.098612309,2.380313635,1.098612309,1.098612309,0.693147182,0,0,3.910037279,1.386294365,0,1.617624283,0,0,0,0,0.91629076,0,0,1.609437943,0,0,4.659002781
PFA,INGENIERIA,2,197,1.896119475,1.432700753,7.081877708,5.07902813,2.564949274,1.386294365,2.909412146,1.945910096,2.397895336,2.639057398,1.432700753,0,8.149597168,0.693147182,1.098612309,3.354590416,0,1.098612309,0,1.252762914,1.558144569,2.995732307,2.302585125,2.708050251,0,0.693147182,5.685536385
PNM,CIENCIAS,1,198,1.098612309,1.098612309,4.432831287,4.641765594,2.079441547,1.386294365,0,0,0,0,1.098612309,0.693147182,5.771466732,0,0,1.571177125,0,0,0,1.386294365,0.91629076,1.098612309,1.098612309,1.791759491,0.693147182,0,4.874917984
PECET,SALUD,3,199,2.449279547,2.524928331,7.747242451,5.217302322,2.302585125,1.386294365,2.638545036,1.098612309,0,1.098612309,2.524928331,1.945910096,8.341115952,1.098612309,1.098612309,3.321276188,0,0,0,1.791759491,1.945910096,4.127134323,2.995732307,2.079441547,0.693147182,2.397895336,3.873564959
Ofidismo,SALUD,3,200,2.239645243,1.432700753,7.399786949,3.088218212,2.079441547,1.386294365,2.248443365,1.098612309,1.098612309,1.609437943,1.432700753,1.609437943,6.101224899,0,0,3.276124239,0,0,0,1.252762914,1.945910096,3.526360512,2.833213329,2.397895336,1.609437943,0.693147182,5.439314842
PS,SALUD,3,201,2.529720783,0.693147182,7.410704613,0.693147182,1.609437943,1.386294365,2.248443365,1.609437943,1.098612309,1.098612309,0.693147182,0,3.393087864,1.386294365,0,0.69658488,1.609437943,0,0,0.405465096,0.693147182,0,0,1.791759491,1.098612309,0.693147182,4.297688484
PPF,SALUD,3,202,1.435084581,0.693147182,6.503170967,2.488109112,1.791759491,1.098612309,1.809641361,0,0,0,0.693147182,0,5.823352337,0,0,1.500177622,0,0,0,0,0.693147182,2.197224617,2.197224617,1.386294365,0,0,0.99558574
Psicoanalisis,SOCIALES,4,203,2.214846134,0.900161326,6.986804485,0.693147182,1.386294365,0.693147182,2.248443365,1.098612309,0,0,0.900161326,0,2.5735991,0,0,0,0,1.098612309,0,0.693147182,1.321755886,0,0,2.484906673,0.693147182,1.098612309,3.44109726
